dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen
22/03/2016 13:58,Iveco_KASTEN,private,offer,4100,control,others,2002,manual,125,,150000,8,diesel,sonstige_autos,,22/03/2016 0:00,34125,6/4/2016 3:17
15/03/2016 9:51,Verkaufe_Golf_4_defekt,private,offer,600,control,small car,1998,manual,75,golf,150000,0,petrol,volkswagen,yes,15/03/2016 0:00,36100,15/03/2016 10:44
1/4/2016 13:56,Golf_3_mit_tuev_anfaenger_winter_fahrzeug,private,offer,698,test,,2017,,0,golf,150000,0,,volkswagen,,1/4/2016 0:00,51147,3/4/2016 10:17
25/03/2016 9:50,Selten_gewordener_Youngtimer_Mazda_323_f_BG_mit_Klappscheinwerfer,private,offer,680,test,limousine,1992,manual,88,3_reihe,150000,9,petrol,mazda,no,25/03/2016 0:00,58730,25/03/2016 9:50
27/03/2016 22:58,Top_Zustand,private,offer,1199,test,limousine,1998,manual,96,carisma,5000,0,petrol,mitsubishi,,27/03/2016 0:00,19370,6/4/2016 7:45
2/4/2016 19:50,Volkswagen_Golf_Cabrio_1.8,private,offer,1599,control,cabrio,1995,manual,75,golf,150000,4,petrol,volkswagen,no,2/4/2016 0:00,23879,6/4/2016 20:17
27/03/2016 12:52,Golf_3_Rolling_Stone_75ps_TÜV_neu,private,offer,1000,test,small car,1996,manual,75,golf,150000,3,petrol,volkswagen,no,27/03/2016 0:00,38640,1/4/2016 12:15
12/3/2016 21:56,Mitsubishi_Colt_1300_Sprint__Klima__HU_und_AU_neu,private,offer,1100,test,limousine,1999,manual,75,colt,150000,3,petrol,mitsubishi,no,12/3/2016 0:00,86830,17/03/2016 3:46
13/03/2016 16:53,Audi_80_Cabrio,private,offer,3999,test,cabrio,1991,manual,133,80,150000,6,petrol,audi,no,13/03/2016 0:00,51545,24/03/2016 6:45
12/3/2016 16:58,Fiat_Panda_1.2,private,offer,1290,control,small car,2003,manual,60,panda,150000,12,petrol,fiat,no,12/3/2016 0:00,53859,12/3/2016 16:58
19/03/2016 19:38,Nissan_Micra_C+C_1.4,private,offer,3900,control,cabrio,2006,manual,88,micra,125000,3,petrol,nissan,no,19/03/2016 0:00,26487,7/4/2016 6:46
29/03/2016 20:48,Alfa_Romeo_156_Sportwagon_2.0_Twin_Spark,private,offer,700,test,station wagon,2000,manual,155,156,150000,9,petrol,alfa_romeo,yes,29/03/2016 0:00,82024,6/4/2016 7:17
26/03/2016 14:45,Saab_9_3_2.0_t_Sport_Kombi_Vector_unfallauto,private,offer,2250,control,station wagon,2005,manual,175,others,125000,8,petrol,saab,yes,26/03/2016 0:00,12205,4/4/2016 1:18
27/03/2016 18:55,Mercedes_C180_kompressor_sportcoupe_schwarz_metallic,private,offer,7800,control,coupe,2006,automatic,143,c_klasse,125000,3,petrol,mercedes_benz,no,27/03/2016 0:00,26810,5/4/2016 15:47
24/03/2016 10:55,Dein_erstes_Auto?_VW_Polo_6n_bj1996,private,offer,549,test,small car,1996,manual,0,polo,150000,0,,volkswagen,yes,24/03/2016 0:00,91301,24/03/2016 10:55
3/4/2016 13:54,BMW_116i,private,offer,12250,control,limousine,2011,manual,122,1er,50000,6,petrol,bmw,no,3/4/2016 0:00,75242,5/4/2016 12:46
23/03/2016 21:45,BMW_320_Ci_E46_8_fach_bereift,private,offer,3750,test,coupe,2000,manual,150,3er,150000,4,petrol,bmw,no,23/03/2016 0:00,81369,4/4/2016 1:47
11/3/2016 7:54,Toyota_Yaris_1.3,private,offer,2800,test,small car,2004,manual,87,yaris,80000,1,petrol,toyota,no,11/3/2016 0:00,44649,11/3/2016 7:54
9/3/2016 16:57,Ford_Ka_an_Bastler_mit_Faltdach_und_Alufelgen,private,offer,400,test,,2005,,0,ka,125000,0,,ford,,9/3/2016 0:00,23701,15/03/2016 22:47
14/03/2016 14:54,Mercedes_Benz_E_200_CDI_Elegance_Limousine_DPF_AHK,private,offer,950,control,limousine,1999,manual,102,e_klasse,150000,1,diesel,mercedes_benz,,14/03/2016 0:00,47665,5/4/2016 18:45
27/03/2016 10:58,Mercedes_Benz_C_180_Kompressor_Automatik_AMG_Paket,private,offer,18990,control,limousine,2009,automatic,156,c_klasse,80000,9,petrol,mercedes_benz,no,27/03/2016 0:00,40723,7/4/2016 5:46
25/03/2016 19:46,Opel_Kadett_c_1200_S_Oldtimer,private,offer,9300,test,coupe,1979,manual,63,,125000,5,petrol,opel,no,25/03/2016 0:00,66440,7/4/2016 2:15
27/03/2016 18:36,Volkswagen_Golf_1.6,private,offer,2400,control,limousine,2003,manual,105,golf,150000,4,petrol,volkswagen,no,27/03/2016 0:00,53489,5/4/2016 14:47
22/03/2016 15:47,Peugeot__306_mit_frischen_TÜV,private,offer,1500,control,small car,1999,manual,75,3_reihe,150000,9,petrol,peugeot,no,22/03/2016 0:00,25840,25/03/2016 7:50
4/4/2016 12:47,Schoener_BMW_328i,private,offer,4599,control,limousine,1998,manual,193,3er,150000,5,petrol,bmw,,4/4/2016 0:00,41179,6/4/2016 13:46
22/03/2016 12:46,Land_Rover_Freelander_TD4_Aut._HSE,private,offer,19000,control,suv,2010,automatic,152,freelander,90000,5,diesel,land_rover,no,22/03/2016 0:00,85122,6/4/2016 1:16
10/3/2016 7:55,Daihatsu._Daihatsu,private,offer,0,control,,2000,,45,,100000,0,,daihatsu,,10/3/2016 0:00,79312,6/4/2016 4:45
16/03/2016 11:49,Polo_n6_leuft_sehr_gut,private,offer,475,test,small car,1996,manual,50,polo,150000,7,petrol,volkswagen,,16/03/2016 0:00,38102,19/03/2016 8:17
10/3/2016 13:53,Audi_A4_2.5l_TDI_AUTOMATIK,private,offer,3400,test,station wagon,2002,automatic,163,a4,150000,11,diesel,audi,no,10/3/2016 0:00,31683,17/03/2016 20:47
26/03/2016 17:52,Familie_mit_drei_Kindern_und_Hund_sucht_Van,private,offer,7000,control,,2007,,110,,100000,0,diesel,sonstige_autos,,26/03/2016 0:00,9380,6/4/2016 6:46
9/3/2016 11:38,Verkaufe_einen_Golf_3,private,offer,550,test,limousine,1997,manual,75,golf,150000,6,petrol,volkswagen,no,9/3/2016 0:00,47228,15/03/2016 8:17
28/03/2016 15:46,Mercedes_Benz_CLK_Cabrio_200_Kompressor_Avantgarde,private,offer,17499,control,cabrio,2007,manual,184,clk,60000,10,petrol,mercedes_benz,no,28/03/2016 0:00,72793,6/4/2016 20:19
26/03/2016 17:57,Nissan_Almera,private,offer,1000,control,small car,2001,manual,0,almera,150000,10,petrol,nissan,,26/03/2016 0:00,17179,26/03/2016 17:57
14/03/2016 14:53,Mercedes_Benz_C_200_Kompressor_Automatik!,private,offer,6190,control,limousine,2004,automatic,163,c_klasse,150000,8,petrol,mercedes_benz,no,14/03/2016 0:00,94569,5/4/2016 17:25
5/4/2016 11:50,Volkswagen_Golf_2.0_GTI,private,offer,11300,test,limousine,2006,manual,200,golf,90000,8,petrol,volkswagen,no,5/4/2016 0:00,52152,5/4/2016 11:50
31/03/2016 15:37,VW_Golf_Cabrio_1.4_TSI_DSG___GARANTIE__Xenon__Navi__PDC_Bluetooth,private,offer,17500,control,cabrio,2011,automatic,160,golf,50000,8,petrol,volkswagen,no,31/03/2016 0:00,93170,6/4/2016 8:16
24/03/2016 16:48,Mercedes_Benz_E_200_Benzin,private,offer,600,control,limousine,1998,manual,136,e_klasse,150000,2,petrol,mercedes_benz,no,24/03/2016 0:00,32051,26/03/2016 1:48
9/3/2016 12:43,verkaufe_klein_wagen,private,offer,850,control,small car,2000,manual,60,,150000,0,,peugeot,no,9/3/2016 0:00,63599,31/03/2016 3:15
30/03/2016 20:47,Subaru_Forester_2.0_X_Active,private,offer,2500,control,station wagon,2005,manual,125,forester,150000,5,petrol,subaru,no,30/03/2016 0:00,1855,7/4/2016 13:17
15/03/2016 15:48,MINI_COOPER_IN_SCHWARZ_VON_PRIVAT_SITZHEIZUNG/KLIMA_ect.,private,offer,6199,control,,2016,manual,116,cooper,90000,0,petrol,mini,no,15/03/2016 0:00,32369,2/4/2016 10:44
14/03/2016 18:40,BMW_530D_Automatik_INDIVIDUAL_Absolut_Voll,private,offer,3500,test,station wagon,2002,automatic,198,5er,150000,10,diesel,bmw,yes,14/03/2016 0:00,28201,22/03/2016 13:46
5/4/2016 11:58,Volkswagen_Golf_1.6,private,offer,1350,test,limousine,1999,manual,101,golf,150000,4,petrol,volkswagen,yes,5/4/2016 0:00,87758,5/4/2016 12:43
27/03/2016 15:50,Volkswagen_Golf_Variant_1.4_Special,private,offer,1950,control,station wagon,2002,manual,75,golf,150000,9,petrol,volkswagen,no,27/03/2016 0:00,38685,3/4/2016 12:24
9/3/2016 20:47,Mercedes_C_180_Automatik,private,offer,1400,test,,2017,,122,,150000,7,petrol,mercedes_benz,,9/3/2016 0:00,70188,18/03/2016 2:16
3/4/2016 15:47,Opel_Astra,private,offer,2000,test,station wagon,1999,manual,101,astra,150000,12,petrol,opel,no,3/4/2016 0:00,83512,5/4/2016 15:16
21/03/2016 9:57,MERCEDES_A_KLASSE_200_CDI_AVANTGARDE,private,offer,3700,control,,2016,manual,140,a_klasse,150000,10,diesel,mercedes_benz,no,21/03/2016 0:00,78048,21/03/2016 10:38
29/03/2016 14:50,Opel_Astra_g_turbo,private,offer,2200,test,coupe,2001,manual,192,astra,150000,2,petrol,opel,no,29/03/2016 0:00,13507,6/4/2016 0:44
15/03/2016 17:53,BMW_323_Ci._M__breit_laut_Facelift_Unikat!,private,offer,3499,control,coupe,1999,manual,170,3er,150000,11,petrol,bmw,no,15/03/2016 0:00,22045,15/03/2016 17:53
13/03/2016 0:50,Volkswagen_Golf_1.6_Goal,private,offer,4800,control,limousine,2006,manual,102,golf,150000,11,petrol,volkswagen,no,12/3/2016 0:00,44534,26/03/2016 22:15
2/4/2016 14:54,Citroën_C8_2.2_HDi_Exclusive,private,offer,1350,test,bus,2003,manual,128,others,150000,4,diesel,citroen,no,2/4/2016 0:00,73079,2/4/2016 14:54
14/03/2016 22:46,Audi_A3_cabrio_s_line_2_0l_Diesel,private,offer,15300,control,cabrio,2010,manual,140,a3,125000,6,diesel,audi,,14/03/2016 0:00,44866,2/4/2016 18:46
28/03/2016 14:41,VW_Passatkombi_2.Hand,private,offer,1150,test,station wagon,1991,manual,90,passat,150000,4,petrol,volkswagen,,28/03/2016 0:00,31079,6/4/2016 18:19
4/4/2016 19:26,Mercedes_Benz_300_Adenauer_Cabrio,private,offer,205000,control,cabrio,1952,manual,116,others,100000,9,petrol,mercedes_benz,no,4/4/2016 0:00,35080,5/4/2016 12:08
2/4/2016 12:54,Jeep_Grand_Cherokee_3.0I_CRD,private,offer,22800,test,suv,2011,automatic,241,grand,150000,6,diesel,jeep,no,2/4/2016 0:00,58730,4/4/2016 10:16
17/03/2016 18:58,Golf_4_1_9_tdi,private,offer,2600,control,,2017,manual,90,golf,150000,7,,volkswagen,no,17/03/2016 0:00,58636,27/03/2016 11:17
9/3/2016 18:39,Chrysler_Voyager_3.3_LE_FESTPREIS_BIS_10.03.2016,private,offer,1550,test,bus,1998,automatic,158,voyager,150000,10,petrol,chrysler,no,9/3/2016 0:00,33165,10/3/2016 14:45
8/3/2016 11:25,VW_Polo_1_2,private,offer,2500,control,limousine,2003,manual,64,polo,150000,4,petrol,volkswagen,no,8/3/2016 0:00,56281,15/03/2016 7:16
26/03/2016 17:52,Omega_2.5_V6_Automatik_ohne_Tuev,private,offer,0,control,,1995,automatic,0,,150000,5,petrol,opel,,26/03/2016 0:00,38173,29/03/2016 20:45
29/03/2016 23:57,VW_Golf_Kombi,private,offer,3150,control,,2017,manual,106,,150000,3,,volkswagen,no,29/03/2016 0:00,32339,6/4/2016 21:44
31/03/2016 21:50,1.6_Ti_VCT_Titanium___wenig_km___1._Hand___gute_Ausstattung,private,offer,9450,test,small car,2010,manual,120,fiesta,50000,9,petrol,ford,no,31/03/2016 0:00,72469,2/4/2016 18:15
23/03/2016 11:53,Renault_Clio_1.6_16V,private,offer,2550,test,small car,2006,manual,88,clio,150000,1,petrol,renault,no,23/03/2016 0:00,31515,29/03/2016 5:15
27/03/2016 22:47,Seat_cordoba_ohne_tuev_auch_Tausch!_!,private,offer,0,test,limousine,1998,manual,75,cordoba,150000,0,petrol,seat,yes,27/03/2016 0:00,47798,3/4/2016 21:47
8/3/2016 23:57,Audi_A3_2.0_TDI_Sportback_DPF_S_tronic_Attraction,private,offer,11800,control,station wagon,2010,automatic,140,a3,150000,1,diesel,audi,no,8/3/2016 0:00,84034,6/4/2016 23:17
4/4/2016 11:56,Volkswagen_Polo_1.2_Sonderm._Flair_Zentral_Klima__2009er,private,offer,3980,control,small car,2009,manual,64,polo,150000,1,petrol,volkswagen,no,4/4/2016 0:00,31224,6/4/2016 13:44
21/03/2016 20:58,Mercedes_Benz_SLK_230_Kompressor,private,offer,4900,control,cabrio,1997,automatic,193,slk,150000,8,petrol,mercedes_benz,no,21/03/2016 0:00,67591,7/4/2016 1:17
22/03/2016 18:51,sportlichen_kleinen_Flitzer_/_Alfa_Romeo_MiTo,private,offer,7300,control,small car,2009,automatic,95,others,60000,10,petrol,alfa_romeo,no,22/03/2016 0:00,93309,29/03/2016 23:47
23/03/2016 14:50,Citroen_berlingo_baujahr_2003_Unfallwagen,private,offer,499,control,,2017,manual,0,berlingo,5000,0,petrol,citroen,yes,23/03/2016 0:00,65205,6/4/2016 13:44
23/03/2016 20:37,Ford_fiesta,private,offer,1150,test,small car,1997,,0,fiesta,150000,6,,ford,no,23/03/2016 0:00,50226,6/4/2016 1:45
24/03/2016 9:57,Peugeot_307_sw__2lt_Euro_3_TÜV_07_16_Klima_.tip_Top_.....,private,offer,0,control,,2016,manual,0,3_reihe,150000,0,diesel,peugeot,,24/03/2016 0:00,20539,24/03/2016 10:39
20/03/2016 10:57,Opel_Astra_Twin_Top_1.9_CDTI_Cosmo,private,offer,7400,control,cabrio,2007,manual,150,astra,125000,4,diesel,opel,,20/03/2016 0:00,96231,6/4/2016 7:45
4/4/2016 22:42,Volkswagen_Passat_Variant_2.8_V6_4Motion_Highline,private,offer,3900,test,station wagon,2001,manual,193,passat,150000,10,petrol,volkswagen,no,4/4/2016 0:00,35410,7/4/2016 1:16
31/03/2016 15:37,Nissan_Micra_1.2__Klimaautom__8fach_10fach_CD,private,offer,1990,control,small car,2003,manual,65,micra,125000,11,petrol,nissan,no,31/03/2016 0:00,86343,6/4/2016 9:46
30/03/2016 14:38,Volvo_v40_ohne_tuev,private,offer,380,control,station wagon,1999,,0,v40,150000,12,,volvo,,30/03/2016 0:00,45326,7/4/2016 5:15
19/03/2016 18:47,Volkswagen_Golf_1.8_Family,private,offer,500,test,limousine,1997,manual,90,golf,150000,5,petrol,volkswagen,no,19/03/2016 0:00,25873,24/03/2016 14:45
9/3/2016 20:38,VW_Golf_VI_Trendline_Top,private,offer,8700,test,,2016,manual,110,golf,150000,8,diesel,volkswagen,no,9/3/2016 0:00,37431,5/4/2016 16:47
12/3/2016 11:43,C_180_T_Kompressor_Avantgarde_Scheckheft_Klima_17_Alus,private,offer,3900,test,station wagon,2003,automatic,148,c_klasse,150000,11,petrol,mercedes_benz,no,12/3/2016 0:00,13407,23/03/2016 22:19
11/3/2016 20:38,Mercedes_SL_350_R107_/_TAUSCH_MÖGLICH,private,offer,22900,control,cabrio,1972,automatic,200,sl,150000,0,petrol,mercedes_benz,,11/3/2016 0:00,15328,6/4/2016 3:15
30/03/2016 0:56,Audi_A3_8l__125_PS__Gebrauchtwagen,private,offer,0,test,small car,1996,manual,125,a3,150000,9,petrol,audi,no,29/03/2016 0:00,98617,6/4/2016 20:16
26/03/2016 13:47,BMW_X3_3.0d,private,offer,5500,control,suv,2004,manual,204,x_reihe,150000,4,diesel,bmw,no,26/03/2016 0:00,75172,28/03/2016 2:15
15/03/2016 11:52,BMW_X5_3.0d,private,offer,16000,test,suv,2007,automatic,235,x_reihe,150000,7,diesel,bmw,no,15/03/2016 0:00,23909,16/03/2016 8:16
4/4/2016 16:52,Renault_Twingo_1.2_16V_Aut._Initiale,private,offer,4600,test,small car,2009,,76,twingo,20000,2,petrol,renault,yes,4/4/2016 0:00,44328,4/4/2016 16:52
29/03/2016 19:52,Mercedes_Benz_C_200,private,offer,1200,control,limousine,1994,manual,136,c_klasse,100000,3,petrol,mercedes_benz,no,29/03/2016 0:00,66606,31/03/2016 13:44
17/03/2016 14:37,BMW_320d,private,offer,7000,control,limousine,2004,automatic,150,3er,150000,9,diesel,bmw,no,17/03/2016 0:00,36381,6/4/2016 19:47
3/4/2016 20:38,BMW_318d_DPF_Touring__M_Paket__Navi__Xenon_Klima_AHK,private,offer,15000,test,station wagon,2008,manual,143,3er,150000,5,diesel,bmw,no,3/4/2016 0:00,71034,5/4/2016 21:16
25/03/2016 16:54,Skoda_Fabia_1.4_Classic,private,offer,1590,control,small car,2001,manual,60,fabia,150000,9,petrol,skoda,no,25/03/2016 0:00,85354,6/4/2016 21:46
30/03/2016 15:51,Suzuki_Swift_Bj_97_mit_Rest_TÜV,private,offer,0,test,,2016,manual,53,swift,100000,7,petrol,suzuki,no,30/03/2016 0:00,4643,30/03/2016 15:51
19/03/2016 15:38,A3_2.0_TDI_Quattro_Coupe,private,offer,3100,control,limousine,2007,,0,a3,150000,11,diesel,audi,no,19/03/2016 0:00,40724,19/03/2016 15:38
11/3/2016 9:51,BMW_320d_DPF_Touring_Edition_Sport,private,offer,13999,control,station wagon,2010,manual,184,3er,150000,9,diesel,bmw,no,11/3/2016 0:00,94261,6/4/2016 22:15
19/03/2016 8:53,Mitsubishi_Eclipse_d30,private,offer,2200,test,coupe,1997,manual,141,others,5000,1,petrol,mitsubishi,,19/03/2016 0:00,77656,25/03/2016 9:16
28/03/2016 14:36,Dacia_Logan_MCV,private,offer,4400,test,others,2009,manual,104,logan,90000,4,petrol,dacia,no,28/03/2016 0:00,35083,6/4/2016 18:19
20/03/2016 18:58,Fiat_500_C_1.2_Lounge,private,offer,9000,test,cabrio,2011,manual,69,500,30000,11,petrol,fiat,no,20/03/2016 0:00,46236,1/4/2016 6:45
30/03/2016 21:45,zum_Verkauf_steht_ein_Fiat_Punto_sportling_!!!,private,offer,450,test,small car,2000,automatic,75,punto,150000,8,petrol,fiat,no,30/03/2016 0:00,12249,30/03/2016 21:45
20/03/2016 12:39,Citroën_berlingo_HDI_Tuev_12/2017_LKW_ZUL,private,offer,1650,test,bus,2003,manual,90,berlingo,150000,9,diesel,citroen,no,20/03/2016 0:00,46459,20/03/2016 12:39
5/4/2016 9:38,Jeep_Commander_3.0_CRD_DPF_Automatik_Limited,private,offer,6599,control,suv,2006,automatic,218,others,150000,12,diesel,jeep,no,5/4/2016 0:00,4319,5/4/2016 10:42
15/03/2016 16:47,Mercedes_Benz_S_320_Original_122000_mit_neuen_Tuev,private,offer,7499,control,limousine,1997,automatic,231,s_klasse,125000,7,petrol,mercedes_benz,no,15/03/2016 0:00,40699,17/03/2016 12:15
21/03/2016 10:51,BMW_328_Ci,private,offer,4000,control,coupe,2000,manual,193,3er,150000,2,petrol,bmw,no,21/03/2016 0:00,65933,6/4/2016 12:15
30/03/2016 12:53,Polo_1.9_TDI_GT_Sportline,private,offer,2500,control,limousine,2008,,0,polo,150000,11,diesel,volkswagen,no,30/03/2016 0:00,83512,30/03/2016 12:53
14/03/2016 15:49,Vw_Passat_1.9TDI_GÜRNE_4!!!_TIP_top!,private,offer,3000,test,limousine,2002,manual,131,passat,150000,2,diesel,volkswagen,no,14/03/2016 0:00,65931,15/03/2016 15:20
25/03/2016 12:57,Peugeot_206_TÜV_3/18_Zahnriemen_neu_60ps_Klima_1_1l,private,offer,1799,test,small car,1999,manual,60,2_reihe,150000,2,petrol,peugeot,no,25/03/2016 0:00,52068,30/03/2016 2:18
21/03/2016 13:52,Ford_Galaxy_2.2_TDCi_DPF_Ghia,private,offer,12950,test,bus,2009,manual,175,galaxy,125000,9,diesel,ford,no,21/03/2016 0:00,84513,6/4/2016 9:46
26/03/2016 16:57,Sharan_Comfortline_4M_BlueMotion_Technology_2_0_I_TDI_103_6_Gang,private,offer,33000,control,bus,2013,,103,sharan,40000,9,diesel,volkswagen,no,26/03/2016 0:00,12163,6/4/2016 5:44
29/03/2016 13:49,Mercedes_Benz_C_300_7G_TRONIC_Avantgarde,private,offer,21500,control,limousine,2010,automatic,231,c_klasse,70000,1,petrol,mercedes_benz,no,29/03/2016 0:00,95189,5/4/2016 23:17
2/4/2016 17:39,Opel_Agila_1.0_12_V,private,offer,1000,control,small car,2003,manual,58,agila,150000,9,petrol,opel,no,2/4/2016 0:00,64807,2/4/2016 17:39
18/03/2016 20:44,Volkswagen_Touran_1.6_FSI,private,offer,3500,test,bus,2003,manual,116,touran,150000,9,petrol,volkswagen,no,18/03/2016 0:00,72584,5/4/2016 22:47
25/03/2016 11:47,Volkswagen_Golf_1.9_TDI_DSG,private,offer,5490,test,limousine,2006,automatic,105,golf,125000,5,diesel,volkswagen,no,25/03/2016 0:00,10783,6/4/2016 12:16
19/03/2016 21:46,Mercedes_Benz_E_350_CDI_DPF_4Matic_BlueEFFICIENCY_7G_TRONIC,private,offer,27950,control,limousine,2009,automatic,231,e_klasse,150000,7,diesel,mercedes_benz,no,19/03/2016 0:00,12685,7/4/2016 10:46
15/03/2016 18:25,Renault_kangoo,private,offer,800,test,,2000,,0,kangoo,150000,0,,renault,,15/03/2016 0:00,65929,6/4/2016 22:44
7/3/2016 8:55,Toyota_carina_1_8_liter_Checkheftgepflegt,private,offer,1399,control,station wagon,1997,manual,0,others,150000,12,petrol,toyota,,7/3/2016 0:00,75177,10/3/2016 14:47
19/03/2016 9:55,Opel_Astra_G_Cabrio_1.6_l_TÜV_NEU__Bertone_Linea_Rosso_Tuning,private,offer,3699,test,cabrio,2004,manual,101,astra,125000,12,petrol,opel,,19/03/2016 0:00,73635,20/03/2016 11:48
21/03/2016 13:55,Chevrolet_Captiva_2.4_2WD_5_Sitzer_lpg,private,offer,6200,test,suv,2009,manual,136,captiva,150000,7,petrol,chevrolet,no,21/03/2016 0:00,23560,28/03/2016 9:16
11/3/2016 18:38,Verkaufe_ein_Polo_6N_SDI___Diesel_,private,offer,1150,test,small car,1998,manual,60,polo,150000,7,diesel,volkswagen,no,11/3/2016 0:00,32547,20/03/2016 21:17
14/03/2016 11:56,Passat_2.0_TDI_DPF_4Motion_SPORTLINE_VOLL,private,offer,4000,test,limousine,2007,manual,140,passat,150000,10,diesel,volkswagen,,14/03/2016 0:00,74626,14/03/2016 11:56
30/03/2016 8:50,Renault_Scenic_Automatik,private,offer,750,control,bus,1999,automatic,139,scenic,125000,9,petrol,renault,no,30/03/2016 0:00,47809,7/4/2016 0:17
22/03/2016 10:47,Verkaufe_meinen_Ford_mondeo,private,offer,150,control,station wagon,1998,manual,115,mondeo,150000,0,petrol,ford,yes,22/03/2016 0:00,23966,5/4/2016 22:44
16/03/2016 13:46,KIA_Sorento_und_VW_Caddy,private,offer,3000,control,suv,2006,,0,sorento,150000,7,diesel,kia,no,16/03/2016 0:00,26389,16/03/2016 13:46
16/03/2016 11:49,BMW_316_ti_Compact,private,offer,3500,test,small car,2003,manual,116,3er,150000,2,petrol,bmw,,16/03/2016 0:00,67814,23/03/2016 23:17
19/03/2016 10:57,Nissan_Primera_1.8,private,offer,950,test,station wagon,2003,manual,0,primera,150000,7,petrol,nissan,no,19/03/2016 0:00,90429,20/03/2016 12:44
10/3/2016 12:52,Audi_A3_1.8_TFSI_Sportback_quattro_S_line_Sportpaket,private,offer,7800,test,station wagon,2011,manual,160,a3,80000,3,petrol,audi,yes,10/3/2016 0:00,66849,10/3/2016 12:52
15/03/2016 11:49,Audi_A4_1_6_mit_AHK_und_Standheizung,private,offer,0,test,limousine,1996,manual,101,a4,150000,10,petrol,audi,,15/03/2016 0:00,92637,5/4/2016 23:18
20/03/2016 19:43,POLO_60_PS,private,offer,1000,test,small car,1997,manual,60,polo,150000,10,petrol,volkswagen,,20/03/2016 0:00,78554,7/4/2016 3:44
